 Absolute load value (%), Absolute throttle position (%), Ambient air temperature (F), Barometric pressure (inHg), Calculated load value (%), Commanded fuel rail pressure A (inHg), Engine coolant temperature (F), Engine RPM (RPM), Fuel level input (%), Fuel rail pressure (psi), Fuel/Air commanded equivalence ratio, Ignition timing advance for #1 cylinder (deg), Intake air temperature (F), Intake manifold absolute pressure (inHg), Long term fuel % trim - Bank 1 (%), Mass air flow rate (lb/min), Vehicle speed (MPH), Fuel rate (gal/hr), Instant fuel economy (MPG), Total fuel economy (MPG)
0,0,0,30.1207,32.54902,888.856,186.8,564.75,87.05882,443.8155,0,2,86,12.40264,5.46875,0,0,0,0,0
18.82353,11.76471,80.6,30.1207,32.15686,885.903,186.8,562.75,87.05882,429.3117,0.9952455,4,86,12.10734,5.46875,0.275184,0,0.18363,0,31.36125
18.43137,11.76471,80.6,30.1207,31.76471,885.903,186.8,564.75,87.05882,424.9606,0.9952455,3,86,12.10734,5.46875,0.263277,0,0.1756845,0,31.35455
18.43137,11.76471,80.6,29.8254,32.15686,885.903,186.8,561.25,87.05882,439.4644,0.9952455,6,86,12.40264,5.46875,0.244755,0,0.1633248,0,31.35119
18.82353,11.76471,80.6,30.1207,32.15686,888.856,186.8,568.75,87.05882,449.617,0.9952455,1.5,86,12.40264,5.46875,0.25137,0,0.1677389,0,31.34542
18.82353,11.76471,80.6,29.8254,32.54902,894.762,186.8,557.75,87.05882,453.9681,0.9952455,4.5,87.8,14.17445,5.46875,0.252693,0,0.1686218,0,31.34107
28.23529,10.19608,80.6,29.8254,43.13726,1305.23,186.8,832.75,87.05882,726.639,0.9951845,11.5,87.8,18.89926,5.46875,0.453789,0,0.3028129,0,31.33197
35.68628,19.21569,80.6,29.8254,45.4902,1842.678,186.8,1280.75,87.05882,910.837,0.991372,35,87.8,27.46299,8.59375,1.049139,1.242742,0.7001323,1.775011,31.31387
41.96078,23.52941,80.6,29.8254,56.86274,2672.474,186.8,1888.25,87.05882,1475.034,0.991067,22.5,87.8,27.16769,8.59375,1.48176,5.592341,0.9926403,5.633804,31.28825
47.84314,26.66667,80.6,30.1207,53.33333,2530.729,186.8,2177,87.05882,1237.172,0.9916465,3.5,84.2,27.16769,8.59375,2.501793,9.941939,1.676483,5.930237,31.25443
60.39216,25.4902,80.6,29.8254,66.27451,2879.185,186.8,1547.5,87.05882,1327.095,0.9915245,13,84.2,26.57709,8.59375,2.471364,13.04879,1.655124,7.883878,31.22125
23.13725,9.411765,80.6,29.8254,12.54902,885.903,186.8,1219.75,93.33334,429.3117,0.9928055,27,84.2,7.677826,5.46875,1.649781,14.91291,1.105029,13.4955,31.20569
11.37255,16.47059,80.6,30.1207,31.76471,933.1512,186.8,737.5,93.33334,439.4644,0.9954285,-2.5,84.2,12.10734,5.46875,0.220941,11.80605,0.147796,79.88071,31.21556
17.64706,10.19608,80.6,30.1207,26.27451,885.903,186.8,672,93.33334,429.3117,0.996008,23.5,86,13.87915,8.59375,0.3969,8.077826,0.2648023,30.50512,31.21595
42.35294,22.7451,80.6,30.1207,49.41177,2634.085,186.8,1645,93.33334,1564.957,0.9921345,16,86,27.46299,8.59375,2.188242,6.835083,1.459094,4.684472,31.16427
62.7451,30.19608,80.6,30.1207,71.76471,3667.638,186.8,1921.75,93.33334,1931.903,0.9912195,16,86,27.46299,7.8125,2.892078,9.320568,1.935932,4.814512,31.12405
62.7451,28.62745,80.6,30.1207,70.58823,3638.108,186.8,1869,93.33334,1831.827,0.991311,14.5,86,26.57709,7.8125,3.205629,13.67017,2.147801,6.364726,31.08198
56.07843,27.05882,80.6,30.1207,34.11765,1692.075,186.8,1929.5,93.33334,765.7993,0.991311,18.5,82.4,15.94625,8.59375,2.775654,18.01976,1.859542,9.69043,31.04399
20,10.98039,80.6,30.1207,18.82353,885.903,186.8,1455,93.33334,443.8155,0.9935985,30,82.4,6.496622,8.59375,0.281799,21.12662,0.1887905,111.9051,31.06352
9.019608,11.76471,80.6,30.1207,13.33333,885.903,186.8,1333.25,93.33334,453.9681,1.000003,36.5,82.4,5.315418,5.46875,0.301644,20.50525,0.2016204,101.7023,31.07281
10.19608,10.98039,80.6,30.1207,12.54902,885.903,186.8,1187.75,93.33334,464.1208,1.000003,34.5,82.4,5.610719,5.46875,0.207711,18.64114,0.1379459,135.1337,31.08109
10.19608,11.37255,80.6,30.1207,13.33333,885.903,188.6,1119.75,93.33334,468.4719,1.000003,34.5,84.2,5.610719,5.46875,0.203742,17.39839,0.1353099,128.5818,31.08815
10.58823,10.98039,80.6,30.1207,14.90196,885.903,188.6,938.75,93.33334,478.6245,1.000003,31,84.2,5.90602,5.46875,0.187866,14.91291,0.1247663,119.5267,31.1003
12.54902,12.15686,80.6,30.1207,18.82353,885.903,188.6,877.75,93.33334,429.3117,0.905179,27.5,84.2,10.33554,8.59375,0.783216,13.04879,0.5201525,25.08648,31.09753
19.60784,16.86275,80.6,29.8254,40,1500.129,188.6,958,93.33334,741.1428,0.90524,10,84.2,20.37577,8.59375,0.604611,12.42742,0.4436007,28.01489,31.09677
34.90196,18.03922,80.6,30.1207,49.01961,1928.316,188.6,1121,93.33334,1023.966,0.9021595,24.5,84.2,28.05359,7.8125,0.941976,12.42742,0.6910775,17.98268,31.08765
67.45098,26.66667,80.6,29.8254,72.94118,2746.299,188.6,1375.75,93.33334,1173.355,0.903227,2,84.2,17.12746,7.8125,2.627478,14.29154,1.934223,7.388776,31.03098
