Time (sec),Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Acceleration (mph/s),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263277,0,0,0.1756845,0
1.149,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,197.6,551,67.45098,533.7389,0.9952455,100.4,14.46975,3.90625,0.297675,0,0,0.1986382,0
1.915,22.35294,11.76471,87.8,29.8254,41.56863,1063.084,197.6,553.5,67.45098,533.7389,0.9952455,100.4,14.17445,3.90625,0.27783,0,0,0.1853957,0
3.126,22.35294,11.76471,87.8,29.8254,41.56863,1051.272,197.6,555.5,67.45098,527.9374,0.9952455,100.4,14.46975,3.90625,0.272538,0,0,0.1818643,0
4.272,22.35294,11.76471,87.8,29.8254,41.17647,1060.131,197.6,555.5,67.45098,513.4336,0.9952455,100.4,14.17445,3.90625,0.287091,0,0,0.1915755,0
5.302,22.35294,11.76471,87.8,29.8254,41.56863,1054.225,197.6,556,67.45098,509.0825,0.9952455,102.2,14.17445,3.90625,0.280476,0,0,0.1871613,0
6.285,22.35294,11.76471,87.8,29.8254,41.17647,1066.037,197.6,554.5,67.45098,533.7389,0.9952455,102.2,14.17445,3.90625,0.280476,0,0,0.1871613,0
7.689,22.35294,11.76471,87.8,29.8254,41.96078,1066.037,197.6,556.5,67.45098,513.4336,0.9952455,102.2,14.46975,3.90625,0.281799,0,0,0.1880442,0
8.597,22.35294,11.76471,87.8,29.8254,41.96078,1063.084,197.6,548.25,67.45098,513.4336,0.9952455,102.2,14.17445,3.90625,0.269892,0,0,0.1800987,0
9.863,22.35294,11.76471,87.8,29.8254,41.96078,1057.178,197.6,553.5,67.45098,509.0825,0.9952455,102.2,14.46975,3.90625,0.287091,0,0,0.1915755,0
10.714,22.35294,11.76471,87.8,29.8254,41.17647,1060.131,197.6,546.75,67.45098,513.4336,0.9952455,102.2,14.17445,3.90625,0.289737,0,0,0.1933412,0
11.815,22.35294,11.76471,87.8,29.8254,41.56863,1068.99,197.6,546.25,67.45098,513.4336,0.9952455,102.2,14.46975,3.90625,0.292383,0,0,0.1951069,0
12.544,22.35294,11.76471,87.8,29.8254,41.96078,1060.131,197.6,553.5,67.45098,513.4336,0.9952455,102.2,14.46975,3.90625,0.268569,0,0,0.1792158,0
13.413,22.35294,11.76471,87.8,29.8254,42.35294,1054.225,197.6,553.25,67.45098,509.0825,0.9952455,102.2,14.17445,3.90625,0.272538,0,0,0.1818643,0
14.384,22.35294,11.76471,87.8,29.8254,41.96078,1060.131,197.6,556,67.45098,533.7389,0.9952455,102.2,14.17445,3.90625,0.305613,0,0,0.2039352,0
15.196,22.35294,11.76471,87.8,29.8254,41.17647,1060.131,197.6,553.25,67.45098,513.4336,0.9952455,102.2,14.17445,3.90625,0.263277,0,0,0.1756845,0
16.005,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,197.6,560.5,67.45098,513.4336,0.9952455,102.2,14.17445,3.90625,0.29106,0,0,0.194224,0
16.891,22.35294,11.76471,87.8,29.8254,41.56863,1060.131,197.6,552,67.45098,533.7389,0.9952455,102.2,14.46975,3.90625,0.292383,0,0,0.1951069,0
17.664,22.35294,11.76471,87.8,29.8254,41.56863,1057.178,197.6,550.5,67.45098,533.7389,0.9952455,102.2,14.46975,3.90625,0.296352,0,0,0.1977554,0
18.447,22.35294,11.76471,87.8,29.8254,41.56863,1054.225,197.6,566.25,67.45098,527.9374,0.9952455,102.2,14.46975,7.8125,0.272538,0,0,0.1818643,0
19.595,22.7451,12.15686,87.8,29.8254,40,1089.661,197.6,629.75,67.45098,552.5938,0.9955505,102.2,14.17445,7.8125,0.29106,0,0,0.194224,0
21.417,23.92157,12.54902,87.8,29.8254,40.78431,1122.144,201.2,677,67.45098,538.09,0.9959165,102.2,14.46975,7.8125,0.35721,0,0,0.2382928,0
22.321,22.7451,12.54902,87.8,29.8254,38.03922,1057.178,201.2,699.75,67.45098,527.9374,0.995886,102.2,13.87915,7.8125,0.287091,0,0,0.1914465,0
23.363,22.35294,12.54902,87.8,29.8254,37.2549,1042.412,201.2,726.5,67.45098,503.2809,0.9959165,102.2,13.28854,7.8125,0.329427,0,0,0.2196849,0
24.192,21.96078,12.54902,87.8,29.8254,36.86274,1036.506,201.2,722.75,67.45098,503.2809,1.016168,102.2,13.28854,7.8125,0.322812,0,0,0.215267,0
25.315,21.96078,12.54902,87.8,29.8254,36.07843,1030.6,201.2,735.5,67.45098,523.5862,1.01623,102.2,13.58385,7.8125,0.349272,0,0,0.2282699,0
26.151,21.96078,12.54902,87.8,29.8254,36.07843,1027.647,201.2,740.25,67.45098,513.4336,1.01626,102.2,13.58385,7.8125,0.345303,0,0,0.2256624,0
27.063,21.96078,12.54902,87.8,29.8254,36.47059,1033.553,201.2,753.5,67.45098,523.5862,1.016168,102.2,13.28854,7.8125,0.332073,0,0,0.2170098,0
28.026,21.56863,12.54902,87.8,29.8254,36.07843,1030.6,201.2,749.75,67.45098,519.2351,1.016199,102.2,13.58385,7.8125,0.354564,0,0,0.2317286,0
29.41,21.56863,12.54902,87.8,29.8254,36.07843,1036.506,201.2,753.5,67.45098,527.9374,1.016168,102.2,13.28854,7.8125,0.34398,0,0,0.2248046,0
30.664,21.96078,12.54902,87.8,29.8254,36.07843,1039.459,201.2,752,67.45098,519.2351,1.016199,102.2,13.58385,7.8125,0.362502,0,0,0.2369165,0
32.33,21.56863,12.54902,87.8,29.8254,36.07843,1027.647,201.2,758.25,67.45098,498.9298,1.01623,102.2,13.28854,7.8125,0.34398,0,0,0.2248046,0
33.316,21.96078,12.54902,87.8,29.8254,36.07843,1039.459,201.2,765.5,67.45098,523.5862,1.016199,102.2,13.28854,7.8125,0.340011,0,0,0.222204,0
34.229,21.96078,12.54902,87.8,29.8254,35.68628,1036.506,201.2,771,67.45098,498.9298,1.016138,102.2,13.28854,7.8125,0.367794,0,0,0.2403679,0
36.936,21.96078,12.54902,87.8,29.8254,35.68628,1051.272,201.2,787,67.45098,513.4336,1.016077,102.2,13.58385,7.8125,0.349272,0,0,0.2282768,0
37.739,22.35294,12.54902,87.8,29.8254,36.07843,1057.178,201.2,777,67.45098,527.9374,1.015985,102.2,13.58385,7.8125,0.359856,0,0,0.2352084,0
38.443,22.35294,12.54902,87.8,29.8254,36.47059,1066.037,201.2,781,67.45098,538.09,1.016077,102.2,13.58385,7.8125,0.362502,0,0,0.2369592,0
40.224,20.78431,13.33333,87.8,29.8254,40.39216,1128.05,201.2,666.25,67.45098,552.5938,1.016016,102.2,14.46975,7.8125,0.259308,0,0,0.1694884,0
41.851,22.7451,12.15686,87.8,29.8254,39.60784,1089.661,201.2,652.75,67.45098,548.2427,1.016077,102.2,14.46975,7.8125,0.322812,0,0,0.2110084,0
42.85,23.13725,12.15686,87.8,29.8254,40.39216,1110.332,201.2,651.75,67.45098,558.3953,1.016108,102.2,14.76505,7.8125,0.313551,0,0,0.2049426,0
43.807,23.52941,12.15686,87.8,29.8254,40.78431,1122.144,201.2,650.5,67.45098,543.8915,1.016016,102.2,14.46975,7.8125,0.326781,0,0,0.2135836,0
44.819,23.52941,12.15686,87.8,29.8254,40.78431,1116.238,203,651,67.84314,562.7464,1.016047,102.2,14.17445,7.8125,0.333396,0,0,0.2179267,0
46.061,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,657.5,67.84314,533.7389,1.016047,102.2,14.76505,7.8125,0.332073,0,0,0.2170554,0
47.203,23.52941,12.15686,87.8,29.8254,40.39216,1116.238,203,658,67.84314,538.09,1.016077,102.2,14.17445,7.8125,0.340011,0,0,0.222244,0
48.424,23.13725,12.15686,87.8,29.8254,40.39216,1104.426,203,644.5,67.84314,552.5938,1.016047,102.2,14.17445,7.8125,0.333396,0,0,0.2179137,0
49.521,23.52941,12.15686,87.8,29.8254,40.39216,1104.426,203,648,67.84314,548.2427,1.016047,102.2,14.46975,7.8125,0.328104,0,0,0.2144611,0
50.26,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,658,67.84314,548.2427,1.016047,102.2,14.76505,7.8125,0.321489,0,0,0.2101373,0
51.039,23.52941,12.15686,87.8,29.8254,40.39216,1116.238,203,655.75,67.84314,538.09,1.016047,102.2,14.17445,7.8125,0.338688,0,0,0.2213793,0
51.963,23.52941,12.15686,87.8,29.8254,40.39216,1107.379,203,657.75,67.84314,538.09,1.016047,102.2,14.46975,7.8125,0.31752,0,0,0.207543,0
53.104,23.52941,12.15686,87.8,29.8254,40.78431,1113.285,203,652.25,67.84314,558.3953,1.015985,102.2,14.46975,7.8125,0.334719,0,0,0.218785,0
