Absolute load value (%),Absolute throttle position (%),Ambient air temperature (F),Barometric pressure (inHg),Calculated load value (%),Commanded fuel rail pressure A (inHg),Engine coolant temperature (F),Engine RPM (RPM),Fuel level input (%),Fuel rail pressure (psi),Fuel/Air commanded equivalence ratio,Intake air temperature (F),Intake manifold absolute pressure (inHg),Long term fuel % trim - Bank 1 (%),Mass air flow rate (lb/min),Vehicle speed (MPH),Fuel rate (gal/hr),Instant fuel economy (MPG)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394254,46.60284,0.2892529,161.1145
10.98039,12.54902,62.6,29.8254,12.94118,885.903,147.2,1373.75,83.92157,439.4644,0.9052705,71.6,7.677826,7.8125,0.379701,46.60284,0.2785664,167.2953
12.15686,12.54902,62.6,29.8254,11.37255,885.903,147.2,1392.25,83.92157,464.1208,0.9053315,71.6,5.020117,8.59375,0.461727,47.84558,0.338733,141.2486
8.627451,12.94118,62.6,29.8254,12.54902,885.903,147.2,1399.5,83.92157,419.1591,0.90524,71.6,9.154331,7.8125,0.269892,47.84558,0.1979854,241.6622
19.21569,15.68627,62.6,29.8254,23.92157,1006.976,147.2,1401,83.92157,459.7696,0.905301,71.6,9.154331,8.59375,0.628425,47.84558,0.4610419,103.7771
13.33333,12.15686,62.6,29.8254,12.54902,885.903,147.2,1316,83.92157,468.4719,1.000003,71.6,5.315418,8.59375,0.083349,47.84558,0.06114459,782.499
10.58823,11.37255,62.6,29.8254,12.54902,885.903,147.2,1281,83.92157,478.6245,1.000003,71.6,5.020117,8.59375,0.219618,44.11736,0.1458536,302.477
11.37255,12.94118,62.6,29.8254,12.54902,885.903,147.2,1445.75,83.92157,453.9681,0.9052705,71.6,6.791923,7.8125,0.306936,42.25324,0.2038435,207.2827
13.72549,14.11765,62.6,29.8254,15.68627,885.903,147.2,1439.5,83.92157,429.3117,0.9052705,71.6,8.268428,7.8125,0.553014,41.63187,0.4057032,102.6166
14.11765,13.72549,62.6,29.8254,16.07843,885.903,147.2,1421.5,83.92157,464.1208,0.905301,71.6,8.563729,7.8125,0.537138,41.0105,0.3940562,104.0727
16.07843,14.5098,62.6,29.8254,18.43137,885.903,147.2,1387.5,83.92157,453.9681,0.905362,71.6,10.63084,7.8125,0.616518,40.38913,0.4522759,89.30197
20.78431,16.86275,62.6,29.8254,27.84314,1172.345,147.2,1374.5,78.03922,617.8608,0.903166,71.6,17.42276,7.8125,0.703836,40.38913,0.5162973,78.22842
27.45098,16.47059,62.6,29.8254,31.37255,1441.069,147.2,1375.75,78.03922,960.1498,0.9005735,71.6,26.57709,7.8125,0.898317,39.76776,0.6605607,60.20303
36.86274,20.78431,62.6,29.8254,42.7451,1963.752,147.2,1378.5,78.03922,1034.119,0.8985605,69.8,27.16769,7.8125,1.341522,39.76776,0.989303,40.19775
50.98039,25.88235,62.6,29.8254,63.52941,2675.427,147.2,1390.5,78.03922,1321.294,0.989176,69.8,27.16769,7.8125,1.629936,39.76776,1.204686,33.01089
55.29412,23.92157,62.6,29.8254,61.56863,2696.098,147.2,1427,78.03922,1335.798,0.988932,69.8,26.28179,7.8125,1.922319,41.0105,1.290632,31.77551
53.72549,23.92157,62.6,29.8254,60,2660.662,147.2,1443.75,78.03922,1261.828,0.988993,69.8,26.57709,7.8125,2.012283,41.63187,1.351367,30.80723
49.41177,22.7451,62.6,29.8254,53.72549,2453.951,147.2,1452,78.03922,1157.401,0.989115,69.8,24.50998,7.8125,1.743714,42.25324,1.170935,36.08505
33.33333,17.2549,62.6,29.8254,36.47059,1706.84,147.2,1447.5,78.03922,816.5624,0.987407,69.8,23.03348,7.8125,0.944622,42.25324,0.6342521,66.619
33.72549,18.82353,62.6,29.8254,38.03922,1759.994,147.2,1452,78.03922,860.0738,0.9869495,69.8,23.32878,7.8125,1.981854,42.25324,1.332988,31.69815
31.37255,17.2549,62.6,29.8254,34.90196,1535.565,147.2,1452.75,78.03922,741.1428,0.9882915,69.8,20.67107,7.8125,1.096767,42.25324,0.7380234,57.2519
30.19608,16.86275,62.6,29.8254,33.33333,1500.129,149,1443,81.17647,726.639,0.98881,69.8,20.08047,7.8125,1.062369,42.25324,0.7139059,59.186
